lat,long,full_taxa
30.36666667,78.5,Phaseolus vulgaris L.
40.55,34.96666667,Phaseolus vulgaris L.
38.03333333,44.83333333,Phaseolus vulgaris L.
41.9,12.48333333,Phaseolus vulgaris L.
31.7,76.91666667,Phaseolus vulgaris L.
11,37,Phaseolus vulgaris L.
13.91666667,-89.85,Phaseolus vulgaris L.
14.63333333,-91.51666667,Phaseolus vulgaris L.
-27.3,-58.63333333,Phaseolus vulgaris L.
12.15,-86.28333333,Phaseolus vulgaris L.
30.33333333,78.03333333,Phaseolus vulgaris L.
2.16666667,30.65,Phaseolus vulgaris L.
38.5,-1.75,Phaseolus vulgaris L.
23.16666667,79.95,Phaseolus vulgaris L.
20.9,-103.7833333,Phaseolus vulgaris L.
9.5,-83.53333333,Phaseolus vulgaris L.
9.93333333,-84.08333333,Phaseolus vulgaris L.
14.58333333,-87.13333333,Phaseolus vulgaris L.
14.5,-87.66666667,Phaseolus vulgaris L.
14.3,-90.36666667,Phaseolus vulgaris L.
14.91666667,-91.36666667,Phaseolus vulgaris L.
12.45,-85.45,Phaseolus vulgaris L.
14.91666667,-90.53333333,Phaseolus vulgaris L.
13.98333333,-89.56666667,Phaseolus vulgaris L.
15.13333333,-90.26666667,Phaseolus vulgaris L.
18.86666667,-96.96666667,Phaseolus vulgaris L.
16.73333333,-92.61666667,Phaseolus vulgaris L.
20.36666667,-99.65,Phaseolus vulgaris L.
20.31666667,-99.21666667,Phaseolus vulgaris L.
19.61666667,-103.4333333,Phaseolus vulgaris L.
19.28333333,-99.66666667,Phaseolus vulgaris L.
19.11666667,-98.76666667,Phaseolus vulgaris L.
19.7,-98.96666667,Phaseolus vulgaris L.
16.8,-96.66666667,Phaseolus vulgaris L.
21.88333333,-102.3,Phaseolus vulgaris L.
-8.83305556,31.38305556,Phaseolus vulgaris L.
16.56666667,-96.73333333,Phaseolus vulgaris L.
19.06666667,-97.03333333,Phaseolus vulgaris L.
18.35,-99.53333333,Phaseolus vulgaris L.
15.05,-90.2,Phaseolus vulgaris L.
14.85,-89.15,Phaseolus vulgaris L.
41.56666667,35.93333333,Phaseolus vulgaris L.
36.36666667,33.93333333,Phaseolus vulgaris L.
40.71666667,32.06666667,Phaseolus vulgaris L.
28.6,77.25,Phaseolus vulgaris L.
34.56666667,-107.6666667,Phaseolus vulgaris L.
0.35,-78.11666667,Phaseolus vulgaris L.
29.6,52.53333333,Phaseolus vulgaris L.
36.3,50.28333333,Phaseolus vulgaris L.
40.76666667,30.4,Phaseolus vulgaris L.
28.6,-107.1669444,Phaseolus vulgaris L.
19.8,-97.3,Phaseolus vulgaris L.
20.55,-97.45,Phaseolus vulgaris L.
25.55,-101.7669444,Phaseolus vulgaris L.
21.26694444,-98.3,Phaseolus vulgaris L.
14.66694444,-90.81694444,Phaseolus vulgaris L.
15,-91.11694444,Phaseolus vulgaris L.
20.68305556,-101.35,Phaseolus vulgaris L.
21.13305556,-102.85,Phaseolus vulgaris L.
-23.65,-65.41667,Phaseolus vulgaris
-19.28333333,-64.33333333,Phaseolus vulgaris L.
14.41666667,-87.61666667,Phaseolus vulgaris L.
20.76694444,-97.76694444,Phaseolus vulgaris L.
16.8,-92.61666667,Phaseolus vulgaris L.
3.75,-75.4167,Phaseolus vulgaris L.
4,-75.4667,Phaseolus vulgaris L.
16.25,-92.11666667,Phaseolus lunatus L.
10.61666667,-84.76666667,Phaseolus lunatus L.
-8.11666667,-79.01666667,Phaseolus lunatus L.
-12.05,-77.03333333,Phaseolus lunatus L.
-12.75,-76.31666667,Phaseolus lunatus L.
5.2,-74.71666667,Phaseolus lunatus L.
-25.26666667,-65.5,Phaseolus lunatus L.
-26.81666667,-65.21666667,Phaseolus lunatus L.
-20.38305556,-46.13305556,Phaseolus lunatus L.
-20.76694444,-41.53305556,Phaseolus lunatus L.
-9.16694444,-36.03305556,Phaseolus lunatus L.
19.53305556,-97.26694444,Phaseolus coccineus L.
-19.91694444,-40.6,Phaseolus lunatus L.
-13.8,-47.5,Phaseolus lunatus L.
-15.6,-39.2,Phaseolus lunatus L.
-14.08305556,-46.36694444,Phaseolus lunatus L.
